HST: Hawaii Standard Time (UTC -10:00),Water Temperature (degF),Salinity (PSU),Turbidity (NTU),Chlorophyll (ug/L),Station
2019-04-01 00:03:08,79.51,33.23,0.84,2.51
2019-04-01 00:07:08,79.48,33.23,0.96,2.53
2019-04-01 00:11:08,79.41,33.32,0.82,2.43
2019-04-01 00:15:08,79.44,33.32,0.93,2.55
2019-04-01 00:19:08,79.41,33.31,0.92,2.73
2019-04-01 00:23:08,79.42,33.29,0.98,2.65
2019-04-01 00:27:08,79.46,33.30,0.79,2.55
2019-04-01 00:31:08,79.44,33.29,0.83,2.35
2019-04-01 00:35:08,79.39,33.29,0.95,2.55
2019-04-01 00:39:08,79.40,33.30,0.88,2.65
2019-04-01 00:43:08,79.41,33.29,0.88,2.54
2019-04-01 00:47:08,79.32,33.33,0.90,2.26
2019-04-01 00:51:08,79.31,33.34,0.85,2.63
2019-04-01 00:55:08,79.34,33.34,0.85,2.45
2019-04-01 00:59:08,79.24,33.39,0.86,2.53
2019-04-01 01:03:08,79.29,33.40,0.87,2.74
2019-04-01 01:07:08,79.33,33.39,0.97,2.68
2019-04-01 01:11:08,79.30,33.37,0.85,2.36
2019-04-01 01:15:08,79.30,33.37,1.01,2.71
2019-04-01 01:19:08,79.32,33.38,0.83,2.54
2019-04-01 01:23:08,79.31,33.36,0.90,2.56
2019-04-01 01:27:08,79.29,33.36,0.93,2.60
2019-04-01 01:31:08,79.23,33.42,0.92,2.53
2019-04-01 01:35:08,79.27,33.42,0.84,2.35
2019-04-01 01:39:08,79.28,33.42,0.93,2.44
2019-04-01 01:43:08,79.26,33.40,0.96,2.48
2019-04-01 01:47:08,79.22,33.43,0.80,2.49
2019-04-01 01:51:08,79.22,33.42,0.81,2.17
2019-04-01 01:55:08,79.30,33.41,0.93,2.35
2019-04-01 01:59:08,79.26,33.39,0.99,2.23
2019-04-01 02:03:08,79.27,33.39,0.83,2.32
2019-04-01 02:07:08,79.28,33.36,0.79,2.15
2019-04-01 02:11:08,79.28,33.35,0.83,2.21
2019-04-01 02:15:08,79.28,33.37,0.81,2.10
2019-04-01 02:19:08,79.27,33.35,0.87,2.09
2019-04-01 02:23:08,79.26,33.34,0.93,2.08
2019-04-01 02:27:08,79.25,33.32,0.90,2.12
2019-04-01 02:31:08,79.25,33.33,0.88,2.05
2019-04-01 02:35:08,79.23,33.33,0.86,1.98
2019-04-01 02:39:08,79.22,33.34,0.76,2.05
2019-04-01 02:43:08,79.21,33.35,0.87,1.92
2019-04-01 02:47:08,79.19,33.35,0.88,1.94
2019-04-01 02:51:08,79.16,33.35,0.85,2.13
2019-04-01 02:55:08,79.17,33.34,0.90,1.96
2019-04-01 02:59:08,79.15,33.34,0.82,2.08
2019-04-01 03:03:08,79.16,33.33,0.85,1.97
2019-04-01 03:07:08,79.18,33.34,0.75,2.06
2019-04-01 03:11:08,79.20,33.31,0.82,2.00
2019-04-01 03:15:08,79.22,33.32,0.87,2.15
2019-04-01 03:19:08,79.21,33.33,0.81,2.02
2019-04-01 03:23:08,79.17,33.34,0.79,2.11
2019-04-01 03:27:08,79.22,33.34,0.78,2.06
2019-04-01 03:31:08,79.21,33.36,0.80,2.06
2019-04-01 03:35:08,79.21,33.36,0.76,2.01
2019-04-01 03:39:08,79.24,33.35,0.83,2.12
2019-04-01 03:43:08,79.18,33.36,0.83,1.99
2019-04-01 03:47:08,79.12,33.40,0.80,2.02
2019-04-01 03:51:08,79.10,33.41,0.77,1.79
2019-04-01 03:55:08,79.08,33.41,0.79,1.94
2019-04-01 03:59:08,79.16,33.39,0.79,2.02
2019-04-01 04:03:08,79.18,33.39,0.80,2.00
2019-04-01 04:07:08,79.16,33.38,0.77,2.00
2019-04-01 04:11:08,79.16,33.39,0.63,1.94
2019-04-01 04:15:08,79.21,33.32,0.75,1.91
2019-04-01 04:19:08,79.16,33.32,0.78,1.82
2019-04-01 04:23:08,79.17,33.32,0.84,2.09
2019-04-01 04:27:08,79.18,33.31,0.76,1.97
2019-04-01 04:31:08,79.08,33.40,0.74,1.96
2019-04-01 04:35:08,79.12,33.40,0.74,1.91
2019-04-01 04:39:08,79.10,33.40,0.85,1.92
2019-04-01 04:43:08,79.06,33.42,0.77,1.94
2019-04-01 04:47:08,79.04,33.44,0.72,1.85
2019-04-01 04:51:08,79.09,33.43,0.93,1.90
2019-04-01 04:55:08,78.99,33.49,0.71,1.80
